01:16:52: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
01:16:52: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 65] Command created
01:16:52: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 4.0)
01:16:53: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 1.0)
01:16:53: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.6666666666666666)
01:16:54: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.5)
01:16:54: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.4)
01:16:55: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.3333333333333333)
01:16:55: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 0.0, 0.2857142857142857)
01:16:56: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 2.5, 0.25)
01:16:56: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 4.444444444444445, 0.2222222222222222)
01:16:57: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (0.0, 6.0, 0.2)
01:16:57: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
01:16:58: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (3.3333333333333335, 5.0, 0.16666666666666666)
01:16:58: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
01:16:59: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
01:17:08: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] AVERAGE VELOCITY: (5.333333333333333, 2.6666666666666665, 0.13333333333333333)
