17:18:20: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 45] Logger initialized
17:18:20: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:21: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:24: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:24: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:25: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:25: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:26: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:26: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:27: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:27: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:28: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:28: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:29: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:29: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:30: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:30: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:31: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:31: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:32: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:32: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:33: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:33: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:34: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:34: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:35: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:35: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
17:18:39: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 83] Passed!
