17:19:26: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 45] Logger initialized
17:19:26: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 57] HeartbeatSender created successfully
17:19:26: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:27: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:28: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:29: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:30: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:31: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:32: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:33: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:34: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:35: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:36: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 62] Heartbeat sent
17:19:37: [INFO] [C:\Users\jason\Desktop\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 65] Worker exiting
